Sl No,District,Market,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
1,Hassan,Arasikere,Tomato,Tomato,FAQ,700,700,700,26-07-2019
2,Hassan,Arasikere,Tomato,Tomato,FAQ,800,800,800,07-12-2022
3,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,08-02-2022
4,Hassan,Arasikere,Tomato,Tomato,FAQ,1600,3000,1600,01-06-2024
5,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,80,200,150,01-09-2023
6,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,100,260,180,22-01-2024
7,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,350,300,11-04-2021
8,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,215,475,365,17-09-2018
9,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,231,1154,769,26-02-2024
10,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,231,4231,1385,22-09-2024
11,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,250,700,515,14-05-2020
12,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,280,440,315,15-05-2021
13,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,285,450,350,07-04-2021
14,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,500,400,05-04-2021
15,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,500,400,09-05-2020
16,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,700,575,09-03-2021
17,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,750,525,12-04-2023
18,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,789,580,03-03-2021
19,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,800,621,18-06-2021
20,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,900,580,22-06-2021
21,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,308,1462,1077,24-04-2024
22,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,308,2154,1308,11-05-2024
23,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,315,485,390,08-01-2019
24,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,320,550,425,30-08-2018
25,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,350,580,510,28-08-2018
