Sl No,District,Market,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Date
1,Hassan,Arasikere,Tomato,Tomato,FAQ,700,700,700,2019-07-26
2,Hassan,Arasikere,Tomato,Tomato,FAQ,800,800,800,2022-12-07
3,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,2022-02-08
4,Hassan,Arasikere,Tomato,Tomato,FAQ,1600,3000,1600,2024-06-01
5,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,80,200,150,2023-09-01
6,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,100,260,180,2024-01-22
7,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,350,300,2021-04-11
8,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,215,475,365,2018-09-17
9,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,231,1154,769,2024-02-26
10,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,231,4231,1385,2024-09-22
11,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,250,700,515,2020-05-14
12,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,280,440,315,2021-05-15
13,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,285,450,350,2021-04-07
14,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,500,400,2021-04-05
15,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,500,400,2020-05-09
16,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,700,575,2021-03-09
17,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,750,525,2023-04-12
18,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,789,580,2021-03-03
19,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,800,621,2021-06-18
20,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,900,580,2021-06-22
21,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,308,1462,1077,2024-04-24
22,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,308,2154,1308,2024-05-11
23,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,315,485,390,2019-01-08
24,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,320,550,425,2018-08-30
25,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,350,580,510,2018-08-28
26,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,350,900,710,2021-08-17
27,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,360,1170,910,2021-08-03
28,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,365,565,487,2018-09-22
29,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,380,1500,1200,2023-09-05
30,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,385,652,514,2018-09-28
31,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,385,3077,1538,2024-05-27
32,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,600,500,2018-12-05
33,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,650,600,2020-04-23
34,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,1200,840,2018-06-23
35,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,425,1123,842,2021-07-29
